"uri","movie","year","star"
"http://dbpedia.org/resource/Dinnerladies","Dinnerladies",,"Celia Imrie"
"http://dbpedia.org/resource/Fashion_Police","Fashion Police",,"Joan Rivers"
"http://dbpedia.org/resource/Hawaii_Five-O","Hawaii Five-O",,"Jack Lord"
"http://dbpedia.org/resource/Dinnerladies","Dinnerladies",,"Duncan Preston"
"http://dbpedia.org/resource/Hawaii_Five-O","Hawaii Five-O",,"Moe Keale"
"http://dbpedia.org/resource/Hawaii_Five-O","Hawaii Five-O",,"Douglas Mossman"
"http://dbpedia.org/resource/Fashion_Police","Fashion Police",,"George Kotsiopoulos"
"http://dbpedia.org/resource/Hawaii_Five-O","Hawaii Five-O",,"Gilbert Lani Kauhi"
"http://dbpedia.org/resource/Hawaii_Five-O","Hawaii Five-O",,"Kam Fong Chun"
"http://dbpedia.org/resource/Dinnerladies","Dinnerladies",,"Andrew Dunn (actor)"
"http://dbpedia.org/resource/Dark_Angel_(TV_series)","Dark Angel (TV series)",,"Jennifer Blanc"
"http://dbpedia.org/resource/Dark_Angel_(TV_series)","Dark Angel (TV series)",,"Michael Weatherly"
"http://dbpedia.org/resource/I'm_Sorry,_I'll_Read_That_Again","I'm Sorry, I'll Read That Again",,"David Hatch"
"http://dbpedia.org/resource/Dark_Angel_(TV_series)","Dark Angel (TV series)",,"Alimi Ballard"
"http://dbpedia.org/resource/Dinnerladies","Dinnerladies",,"Anne Reid"
"http://dbpedia.org/resource/Fashion_Police","Fashion Police",,"Giuliana Rancic"
"http://dbpedia.org/resource/Dreams_(TV_series)","Dreams (TV series)",,"Jami Gertz"
"http://dbpedia.org/resource/It_Happened_One_Night","It Happened One Night","1934 films","Clark Gable"
"http://dbpedia.org/resource/K-19:_The_Widowmaker","K-19: The Widowmaker","2002 films","Harrison Ford"
"http://dbpedia.org/resource/Indiana_Jones_and_the_Last_Crusade","Indiana Jones and the Last Crusade","1989 films","Harrison Ford"
"http://dbpedia.org/resource/Independence_Day_(1996_film)","Independence Day (1996 film)","1996 films","Robert Loggia"
"http://dbpedia.org/resource/Indiana_Jones_and_the_Last_Crusade","Indiana Jones and the Last Crusade","1989 films","Denholm Elliott"
"http://dbpedia.org/resource/In_the_Bedroom","In the Bedroom","2001 films","Tom Wilkinson"
"http://dbpedia.org/resource/Independence_Day_(1996_film)","Independence Day (1996 film)","1996 films","Jeff Goldblum"
"http://dbpedia.org/resource/Lara_Croft:_Tomb_Raider","Lara Croft: Tomb Raider","2001 films","Jon Voight"
"http://dbpedia.org/resource/Indiana_Jones_and_the_Last_Crusade","Indiana Jones and the Last Crusade","1989 films","Sean Connery"
"http://dbpedia.org/resource/Independence_Day_(1996_film)","Independence Day (1996 film)","1996 films","Randy Quaid"
