"uri","name"
"http://dbpedia.org/resource/Howard_C._Nielson","Howard C. Nielson"
"http://dbpedia.org/resource/Jane_Holl_Lute","Jane Holl Lute"
"http://dbpedia.org/resource/John_Bryson","John Bryson"
"http://dbpedia.org/resource/Jonathan_Adelstein","Jonathan Adelstein"
"http://dbpedia.org/resource/Joseph_Conrad_Chamberlin","Joseph Conrad Chamberlin"
"http://dbpedia.org/resource/Mike_Volpi","Mike Volpi"
"http://dbpedia.org/resource/Norman_Breslow","Norman Breslow"
"http://dbpedia.org/resource/Per_Ditlev-Simonsen","Per Ditlev-Simonsen"
"http://dbpedia.org/resource/Sandra_Froman","Sandra Froman"
"http://dbpedia.org/resource/David_Ibarra_Muñoz","David Ibarra Muñoz"
"http://dbpedia.org/resource/Perley_G._Nutting","Perley G. Nutting"
"http://dbpedia.org/resource/Steven_Levitsky","Steven Levitsky"
"http://dbpedia.org/resource/Dacher_Keltner","Dacher Keltner"
"http://dbpedia.org/resource/Hilmi_Volkan_Demir","Hilmi Volkan Demir"
"http://dbpedia.org/resource/Karl_Barry_Sharpless","Karl Barry Sharpless"
"http://dbpedia.org/resource/Kevin_Warsh","Kevin Warsh"
"http://dbpedia.org/resource/Paul_Leonardi","Paul Leonardi"
"http://dbpedia.org/resource/Robert_Bass","Robert Bass"
"http://dbpedia.org/resource/Sri_Srinivasan","Sri Srinivasan"
"http://dbpedia.org/resource/Alexander_Payne","Alexander Payne"
"http://dbpedia.org/resource/Carl_Hayden","Carl Hayden"
"http://dbpedia.org/resource/Cleve_Moler","Cleve Moler"
"http://dbpedia.org/resource/Goodwin_Knight","Goodwin Knight"
"http://dbpedia.org/resource/Ray_Lyman_Wilbur","Ray Lyman Wilbur"
"http://dbpedia.org/resource/Stuart_J._Russell","Stuart J. Russell"
"http://dbpedia.org/resource/Thomas_O._Paine","Thomas O. Paine"
"http://dbpedia.org/resource/Victor_Grinich","Victor Grinich"
"http://dbpedia.org/resource/Charles_L._McNary","Charles L. McNary"
"http://dbpedia.org/resource/Penny_Pritzker","Penny Pritzker"
"http://dbpedia.org/resource/Seth_Neddermeyer","Seth Neddermeyer"
"http://dbpedia.org/resource/Susan_Rice","Susan Rice"
"http://dbpedia.org/resource/William_Rehnquist","William Rehnquist"
"http://dbpedia.org/resource/Anthony_Downs","Anthony Downs"
"http://dbpedia.org/resource/Daniel_Henry_Holmes_Ingalls_Jr.","Daniel Henry Holmes Ingalls Jr."
"http://dbpedia.org/resource/France_A._Córdova","France A. Córdova"
"http://dbpedia.org/resource/Frank_Cady","Frank Cady"
"http://dbpedia.org/resource/Ivo_Banac","Ivo Banac"
"http://dbpedia.org/resource/Joe_Simitian","Joe Simitian"
"http://dbpedia.org/resource/Keith_Hennessey","Keith Hennessey"
"http://dbpedia.org/resource/Lawrence_Lau","Lawrence Lau"
"http://dbpedia.org/resource/Lorenzo_Zambrano","Lorenzo Zambrano"
"http://dbpedia.org/resource/Melissa_Franklin","Melissa Franklin"
"http://dbpedia.org/resource/Nettie_Stevens","Nettie Stevens"
"http://dbpedia.org/resource/Randy_Schekman","Randy Schekman"
"http://dbpedia.org/resource/Robert_Kowalski","Robert Kowalski"
"http://dbpedia.org/resource/William_P._Clark_Jr.","William P. Clark Jr."
"http://dbpedia.org/resource/Alvin_E._Roth","Alvin E. Roth"
"http://dbpedia.org/resource/Fahd_bin_Abdul_Rahman_Balghunaim","Fahd bin Abdul Rahman Balghunaim"
"http://dbpedia.org/resource/Jared_Cohen","Jared Cohen"
"http://dbpedia.org/resource/Valerie_Jarrett","Valerie Jarrett"
"http://dbpedia.org/resource/Reinhard_Wilhelm","Reinhard Wilhelm"
"http://dbpedia.org/resource/Cayetano_Paderanga_Jr.","Cayetano Paderanga Jr."
"http://dbpedia.org/resource/Miklos_Porkolab","Miklos Porkolab"
"http://dbpedia.org/resource/Stephen_Elledge","Stephen Elledge"
